"Government expenditure, percent of GDP (% of GDP)",1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.29986291,36.7512952,37.10750224,33.83799839,32.68500785,31.53458537,29.67996351,30.15481257,28.89199563,29.19121622,29.30901316,31.72648509,32.67947807,29.38664876,28.92326889,28.22910398,29.19271364,31.72915482,30.75780466,29.13947574,29.16156954,29.07687116,29.07540857,32.55248124,32.11868003,30.44490103
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.25974026,29.94089072,30.61557,35.35979773,33.58565282,31.37621634,29.17898833,30.9525214,31.18346229,31.93525024,28.59961198,31.57032008,35.21599452,29.26310378,29.17026882,28.88156572,29.2792359,34.94914699,39.35320254,43.94560475,38.69797171,41.17395983,43.49414544,36.64882658,41.29030798,46.22166658,41.99534103,41.11913952,40.32091107,41.78597282,42.42847556,37.07716277,37.04955072
Angola,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.19659072,35.18620945,34.3386195,51.77244107,40.56833244,34.28687735,31.22300245,34.39991323,29.80317185,26.52675255,30.60394192,38.1285388,52.66600839,45.00704996,39.39449042,37.4018523,37.20887261,37.04958211,36.45676464,27.05110493,22.04314336,24.10278289,20.57876095,20.40298389,23.27672739,19.47657714,22.54339981
Antigua and Barbuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.88720508,21.73568841,19.65525084,20.53320758,22.43237904,22.39503051,20.97296078,18.08145755,22.41783788,22.14001483,22.99704543,26.51795768,29.0370005,26.84580792,24.47182799,24.08712462,29.31054096,26.98754149,26.38589452,36.20909746,22.56342133,23.86073287,21.0767855,23.22291349,23.00986907,26.70412477,24.65782822,23.57738575,22.30060332,22.78268762,25.8906616,24.00933527,23.8847252
Argentina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.830899954,3.50673008,4.932189941,5.919769764,7.190859795,6.724420071,8.557029724,9.592889786,8.603079796,9.174619675,8.907549858,9.955679893,8.624529839,5.580999851,6.232699871,7.605410099,8.037249565,8.706190109,11.01939964,10.55130005,10.52659988,8.622240067,9.257639885,7.259699821,7.240739822,12.60659981,7.729249954,10.69629955,8.512339592,7.421160221,7.242060184,7.390530109,8.999360085,9.260700226,16.56159973,8.566699982,8.253020287,8.001299858,9.412389755,7.51429987,7.530210018,10.22019958,7.178299904,7.23803997,6.388830185,9.419960022,8.918899536,9.03057003,7.643410206,7.471260071,8.643019676,7.41933012,6.657899857,6.261419773,4.82945013,4.819849968,4.615869999,6.1321702,7.105420113,6.540410042,6.153830051,6.611979961,7.037990093,9.388560295,7.767109871,8.0125103,9.398530006,9.919650078,9.371259689,8.873689651,8.583860397,8.463680267,8.531470299,8.608940125,9.272489548,10.03709984,8.800909996,8.49654007,8.378760338,9.182920456,11.00570011,11.39859962,9.892640114,9.317090034,12.89430046,11.81599998,11.19979954,11.98040009,11.89369965,11.03719997,10.97469997,10.2166996,10.06110001,8.418499947,13.19799995,13.62339973,11.30480003,12.25020027,11.34560013,11.18190002,11.77589989,11.61200047,12.11849976,12.96000004,12.80160046,12.26329994,12.0468998,11.72459984,11.15929985,12.58710003,14.04119968,12.50699997,13.01949978,12.59249973,14.85249996,14.49989986,15.17399979,17.02529907,15.87240028,14.18229961,13.03950024,14.74740028,13.68550014,13.7269001,12.33469963,11.01319981,10.99030018,11.43220043,12.09939957,13.31050014,14.17440033,14.39420033,14.10999966,22.58579737,23.13040953,25.47128762,25.24723778,26.43249924,21.85305415,22.02588763,23.02953208,24.42556013,26.61666182,29.55058817,30.76234775,34.52443593,33.35806863,34.90190054,36.82142314,37.60293345,38.8529315,41.36633005,41.52202068,41.12145402,38.94920824,37.70266489,42.05937625,37.77943786,37.27506815
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,26.32843486,27.45765992,24.98985081,21.57360105,22.79835764,21.6055652,22.50832146,24.65986198,25.13569014,29.2445127,24.47694025,24.82692845,22.61980055,25.35939547,26.88778474,30.44338963,27.19927199,30.76120525,29.45410376,29.8341347,25.37328268,25.11903308,24.55831544,24.86275624,23.68782837,40.23676107,28.85884271,21.6787676
Australia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.169450045,2.545039892,2.827100039,2.589289904,2.590090036,2.484339952,2.374769926,2.761189938,2.425829887,2.664530039,2.675440073,2.874660015,2.743139982,2.835649967,4.80907011,6.976260185,8.610569954,8.596989632,9.432310104,7.693530083,6.635310173,5.58781004,4.63575983,4.837480068,4.320559978,4.8884902,4.783110142,5.002870083,5.023369789,5.472539902,6.394720078,6.090909958,5.577529907,5.398230076,5.48883009,5.101650238,4.903900146,4.873449802,5.387579918,7.070710182,11.93470001,16.94029999,24.38769913,24.78479958,22.62490082,18.77339935,15.37969971,12.78359985,12.71969986,12.21809959,13.16989994,14.75160027,13.27029991,12.10470009,11.76720047,11.60980034,12.01019955,11.93480015,11.16639996,21.82512474,23.34178734,22.70216751,22.96450043,23.50248337,25.83230591,25.62864113,26.37193108,25.28369904,24.7062645,25.31626701,26.05185699,27.02365875,26.59157944,30.91218376,33.03219604,33.28926086,34.08332443,33.20684433,32.51658249,33.21014404,33.3896637,36.66004181,37.0443306,38.41279602,38.73400497,38.41347504,36.04185104,34.60764313,34.45496368,36.09859848,38.09328079,38.03913116,37.94717407,37.74515152,36.87675095,36.05107498,34.80287552,34.99671936,34.5329628,35.63301468,35.12228775,34.46218109,34.65354538,34.69910431,33.93445969,33.74198914,33.61192322,36.0760994,36.9682312,37.15729904,36.31887216,36.52792325,36.38575278,36.75573456,37.28706026,37.26710799,36.76257416,36.87688347,38.93691863,44.50188175,42.12910172,38.08465954
Austria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.36410046,14.23270035,11.6697998,11.7791996,17.53919983,12.57600021,12.67310047,12.8132,12.73060036,14.3149004,13.44690037,17.20739937,15.00710011,16.14209938,15.89620018,14.1850996,15.21560001,16.47450066,15.84710026,14.96259975,15.58759975,16.25320053,16.13500023,16.11120033,17.05800056,15.03950024,14.3263998,17.94269943,16.90069962,22.22570038,17.32500076,17.07550049,17.29030037,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.69760036,13.7123003,15.58370018,16.51659966,16.92639923,16.4598999,19.8010006,22.5,20.14660072,14.30150032,16.63699913,17.22100067,15.55790043,14.38899994,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,32.74549866,33.81420135,36.35739899,26.28100014,22.07530022,26.33699989,24.61860085,24.22800064,24.24790001,25.83110046,28.3817997,27.34659958,36.2942009,35.71360016,37.56060028,38.63639832,38.67129898,38.3484993,38.74620056,40.73059845,40.89319992,40.68740082,39.54159927,40.0326004,40.06750107,41.50180054,42.02560043,46.09280014,47.94010162,47.6352005,50.77090073,49.75600052,50.00839996,51.52099991,52.03070068,52.43780136,52.55350113,53.5177002,54.26160049,54.53239822,53.09909821,51.60889816,51.50510025,52.5870018,53.38280106,56.42969894,56.11999893,56.31100082,55.86119843,53.47190094,53.70899963,53.41849899,51.94279861,51.29499817,50.6739006,51.32099915,53.75749969,49.98519897,49.14139938,48.60250092,49.33539963,52.89319992,52.52590179,50.89196224,51.21322385,51.64788067,52.32170886,51.02736726,50.07131589,49.29889216,48.75764412,48.67155237,56.78290736,56.05440502,52.79794958
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.28377174,18.66519824,19.74989197,18.53359276,18.72149753,19.50477069,18.23970656,16.78481176,23.13878407,21.66205181,24.21585147,22.49795845,25.2990803,26.06772667,31.43901774,34.5063526,31.95804039,33.73461955,36.63643664,37.77934163,36.37419252,38.69913736,35.42502058,35.57145173,33.18291904,32.52003132,40.14860066,32.28257366,26.20813877
