year,value,type,year2
1900,0.207455342,Higher Education,1900
1902,0.22340989,Higher Education,1902
1904,0.23800857,Higher Education,1904
1907,0.258346574,Higher Education,1907
1910,0.263454187,Higher Education,1909
1912,0.260657711,Higher Education,1911
1914,0.244680052,Higher Education,1913
1916,0.231198421,Higher Education,1916
1918,0.225266503,Higher Education,1918
1921,0.225536136,Higher Education,1920
1923,0.240173335,Higher Education,1922
1925,0.261127642,Higher Education,1924
1927,0.28316048,Higher Education,1927
1930,0.305855843,Higher Education,1929
1933,0.326417256,Higher Education,1932
1936,0.342541287,Higher Education,1935
1939,0.350499302,Higher Education,1938
1942,0.352602436,Higher Education,1941
1945,0.358495835,Higher Education,1944
1947,0.350144928,Higher Education,1947
1950,0.341894169,Higher Education,1950
1953,0.341324089,Higher Education,1953
1956,0.35092301,Higher Education,1956
1960,0.360360152,Higher Education,1959
1963,0.379072656,Higher Education,1962
1966,0.399479994,Higher Education,1966
1970,0.400042371,Higher Education,1969
1972,0.421127642,Higher Education,1972
1975,0.446288218,Higher Education,1974
1977,0.482573066,Higher Education,1977
1980,0.513657855,Higher Education,1980
1983,0.545875102,Higher Education,1982
1986,0.582722327,Higher Education,1985
1988,0.611734797,Higher Education,1988
1990,0.638413019,Higher Education,1990
1992,0.667071116,Higher Education,1992
1994,0.69851028,Higher Education,1994
1997,0.731274496,Higher Education,1997
2000,0.760094371,Higher Education,1999
2002,0.78040156,Higher Education,2002
2005,0.790031297,Higher Education,2005
2008,0.803528336,Higher Education,2007
2009,0.811131976,Higher Education,2009
1900,0.082214839,AHSS,1900
1903,0.081590832,AHSS,1902
1906,0.08739949,AHSS,1905
1909,0.083393519,AHSS,1909
1913,0.084733979,AHSS,1912
1916,0.080512302,AHSS,1916
1920,0.074657422,AHSS,1919
1923,0.077762049,AHSS,1923
1926,0.080466079,AHSS,1926
1929,0.084495161,AHSS,1929
1932,0.09630507,AHSS,1932
1936,0.105588136,AHSS,1936
1939,0.115017574,AHSS,1939
1943,0.104856276,AHSS,1943
1946,0.089317733,AHSS,1946
1949,0.089317733,AHSS,1949
1953,0.089317733,AHSS,1952
1955,0.089317733,AHSS,1955
1960,0.100904232,AHSS,1959
1963,0.120271559,AHSS,1963
1967,0.129100101,AHSS,1966
1970,0.137327748,AHSS,1970
1974,0.158644133,AHSS,1973
1977,0.169945592,AHSS,1977
1980,0.177472194,AHSS,1980
1983,0.190337522,AHSS,1983
1986,0.20049882,AHSS,1986
1990,0.214273196,AHSS,1990
1993,0.215906399,AHSS,1993
1996,0.219557995,AHSS,1996
1999,0.228864173,AHSS,1999
2003,0.235990178,AHSS,2002
2005,0.23884058,AHSS,2005
2009,0.254818239,AHSS,2009
1900,0.043218258,STEM,1900
1903,0.049751071,STEM,1903
1906,0.050244114,STEM,1906
1909,0.056353219,STEM,1909
1912,0.053302518,STEM,1912
1915,0.055436468,STEM,1914
1918,0.066160143,STEM,1917
1921,0.078694208,STEM,1921
1925,0.088932544,STEM,1924
1927,0.093007848,STEM,1927
1931,0.094225047,STEM,1930
1934,0.093963118,STEM,1933
1936,0.084294863,STEM,1936
1939,0.08189128,STEM,1938
1941,0.087137561,STEM,1941
1944,0.090234484,STEM,1943
1946,0.094725793,STEM,1946
1949,0.09923251,STEM,1948
1951,0.09923251,STEM,1951
1954,0.104394049,STEM,1954
1957,0.107152005,STEM,1956
1960,0.117005152,STEM,1960
1963,0.12322211,STEM,1963
1966,0.134569792,STEM,1966
1969,0.139084212,STEM,1969
1972,0.155624248,STEM,1972
1975,0.161656315,STEM,1974
1977,0.174768164,STEM,1977
1980,0.179428957,STEM,1980
1983,0.190029371,STEM,1982
1985,0.205313689,STEM,1985
1987,0.217878569,STEM,1987
1990,0.235828398,STEM,1989
1992,0.257776494,STEM,1992
1994,0.272837402,STEM,1994
1996,0.288360537,STEM,1996
1999,0.301919207,STEM,1998
2001,0.313382445,STEM,2001
2003,0.315762916,STEM,2003
2005,0.315762916,STEM,2005
2008,0.310377967,STEM,2007
2009,0.303806635,STEM,2009
1903,0.030422264,Management,1902
1901,0.025969474,Management,1900
1905,0.029020174,Management,1904
1908,0.029020174,Management,1908
1911,0.031547017,Management,1910
1914,0.034374308,Management,1913
1916,0.0380182,Management,1916
1920,0.04133083,Management,1919
1922,0.04133083,Management,1921
1924,0.040244595,Management,1924
1927,0.03693967,Management,1927
1930,0.032171024,Management,1930
1934,0.030715008,Management,1933
1937,0.033742597,Management,1936
1940,0.03875006,Management,1939
1943,0.048379797,Management,1942
1945,0.049920555,Management,1945
1948,0.055182243,Management,1947
1950,0.057262266,Management,1949
1952,0.063548558,Management,1952
1956,0.076406182,Management,1955
1959,0.088239203,Management,1959
1962,0.089818479,Management,1962
1966,0.096150994,Management,1965
1968,0.094594829,Management,1968
1971,0.096736482,Management,1971
1974,0.111296644,Management,1974
1977,0.127490009,Management,1976
1979,0.143691078,Management,1979
1982,0.146395108,Management,1981
1985,0.169537291,Management,1984
1987,0.191716501,Management,1987
1989,0.218379315,Management,1988
1991,0.247792383,Management,1991
1993,0.28789831,Management,1993
1996,0.314807646,Management,1995
1999,0.327711493,Management,1998
2001,0.337988348,Management,2001
2003,0.346955559,Management,2003
2005,0.360575858,Management,2005
2007,0.378910877,Management,2006
2009,0.402415138,Management,2008
